номер_позиції,аксіальна_x,аксіальна_альфа,x_см,y_см,тип,fuel_cell_id,енергія_поділів_еВ_на_джерельну_частинку,похибка_енергії_поділів_еВ,поділи_на_джерельну_частинку,похибка_поділів,потік_на_джерельну_частинку,похибка_потоку,поглинання_на_джерельну_частинку,похибка_поглинання,нейтрони_поділу_на_джерельну_частинку,похибка_нейтронів_поділу,частка_потужності,відносна_потужність,похибка_відносної_потужності_наближено
63,4,3,4.416729559300636,6.375,звичайний твел UO₂,305,318011.9343630321,4408.131744560528,0.0016422775272062697,2.2789077126499386e-05,0.041022077631048565,0.00028439080491008794,0.00284690446822911,3.511525446548457e-05,0.0040224926735427735,5.543395404137834e-05,0.0032301442209199866,1.0078049969270357,0.01399302483454383
64,6,2,6.625094338950954,6.375,звичайний твел UO₂,310,316169.97368301725,4136.506535012394,0.0016327359746886047,2.138519359871147e-05,0.040755280936268186,0.0002123611093569344,0.002742069465000504,3.280691311642182e-05,0.00399985267244818,5.197830968301199e-05,0.0032114348644374097,1.0019676777044717,0.013133464074750528
65,8,1,8.833459118601272,6.375,звичайний твел UO₂,315,299690.74494631425,3804.449223091709,0.0015475449864843203,1.96699569264616e-05,0.040294898381420564,0.00024661995746723896,0.0026968276857697116,3.723924827325314e-05,0.003792790847199237,4.7819839925883345e-05,0.0030440503114781054,0.9497436971811688,0.012080579574111815
66,10,0,11.04182389825159,6.375,звичайний твел UO₂,320,351541.6006833363,5566.3001325944415,0.001815630015379418,2.8776153276563063e-05,0.04147519319631669,0.00028575383218929976,0.003068779437079305,4.523616059105912e-05,0.004444403515991013,6.99933930124337e-05,0.003570715269333119,1.1140631640319332,0.017662604460693627
67,-9,9,-9.937641508426431,5.7375,звичайний твел UO₂,325,305251.70678350824,4295.033782438803,0.0015762910150859018,2.2210772656192586e-05,0.04041406314489805,0.00019752656822411845,0.0027265882373672767,3.5133698881030214e-05,0.003862341243877066,5.386760551428714e-05,0.003100534697125919,0.9673668255032868,0.013633341616035143
68,-7,8,-7.729276728776114,5.7375,звичайний твел UO₂,330,296230.5960699247,4140.990945286764,0.0015297045877002708,2.1411452424530703e-05,0.04040623917174461,0.00023685250212300384,0.0026188610406554015,3.5432091049158897e-05,0.0037487902851288347,5.204911045333554e-05,0.0030089045238868967,0.9387782114527118,0.013144656137690905
69,-5,7,-5.520911949125795,5.7375,звичайний твел UO₂,335,329697.41328353353,5106.860044032048,0.001702685603240136,2.640376424243697e-05,0.04154664857385591,0.0002278014614501949,0.0028661993390961937,3.77989260252104e-05,0.004169599175497496,6.417043539792984e-05,0.0033488371947523795,1.0448372047627423,0.016205670529361317
70,-3,6,-3.312547169475477,5.7375,звичайний твел UO₂,340,325316.5211575677,4917.7177733784665,0.0016800345849446283,2.542723621116619e-05,0.04146885024792056,0.00025465224354274393,0.002887477450323631,4.0118762184653476e-05,0.004114340686936813,6.178304334905166e-05,0.0033043391371197113,1.0309538107813498,0.015606501889954731
71,-1,5,-1.104182389825159,5.7375,твег UO₂-Gd₂O₃,345,105731.46175439602,1055.091725894937,0.000544946815708867,5.450823109454305e-06,0.03626302855448903,0.00022114352888594064,0.007530086977619653,0.00012475950322439713,0.0013520819216313233,1.332095075825086e-05,0.0010739467084449345,0.33507137303481954,0.003354424556204297
72,1,4,1.104182389825159,5.7375,звичайний твел UO₂,350,310455.7418614371,4633.333452618742,0.001603207564012763,2.3956881171710193e-05,0.04072384253923653,0.000225523701209166,0.0027297107098785195,3.778203252393807e-05,0.003928045094575504,5.82139454066636e-05,0.0031533936688060427,0.9838588246674853,0.01470453529638195
73,3,3,3.312547169475477,5.7375,звичайний твел UO₂,355,318772.7803665801,4600.9017697969975,0.0016462194065136918,2.3783917509563018e-05,0.04070712024431313,0.0002454706470590687,0.002793018096058939,3.844732818396917e-05,0.00403198817668796,5.795670879007773e-05,0.0032378723658598716,1.01021617814828,0.014603060236959687
74,5,2,5.520911949125795,5.7375,звичайний твел UO₂,360,301178.47328641696,3991.3725515779674,0.001555218663022361,2.0639860230691608e-05,0.04068896857213909,0.00021506145059100226,0.00267676490576371,3.4389199488017345e-05,0.0038119603255746945,5.010016293148577e-05,0.0030591616220322425,0.9544584260740596,0.012672060804056463
75,7,1,7.729276728776114,5.7375,звичайний твел UO₂,365,293814.91692219523,3984.2660484219273,0.0015171699039104685,2.0600528902416685e-05,0.04030733475046719,0.00020750681202651988,0.0026371400022411817,3.437322132277623e-05,0.0037185812824371673,5.0050187398199345e-05,0.0029843677339256506,0.931122732984803,0.012648464793075275
76,9,0,9.937641508426431,5.7375,звичайний твел UO₂,370,303197.9089258325,4557.632308059709,0.0015656975975895425,2.35604386894305e-05,0.040547602230856815,0.00023145539311577614,0.0026932656057217963,3.729108219944552e-05,0.0038363067655721875,5.7332849083387366e-05,0.00307967364581287,0.9608581774936155,0.014463990781684602
77,-10,9,-11.04182389825159,5.1,звичайний твел UO₂,375,333865.0617786773,5315.659607103915,0.0017242093640900066,2.748023468666634e-05,0.04138503811712081,0.0002589280761440888,0.0029589642131078687,4.494645693165612e-05,0.004222343390398856,6.688038301315806e-05,0.0033911692717808048,1.058044812795611,0.016867052739341713
78,-8,8,-8.833459118601272,5.1,твег UO₂-Gd₂O₃,380,104583.14380661192,1246.3819334537488,0.0005389706811779643,6.443758913055372e-06,0.036278551958124454,0.00021753772301525936,0.007494786817207415,0.00011390825690812674,0.001338656636803198,1.5633309232807405e-05,0.0010622828927763716,0.33143226254622793,0.003958795257102617
79,-6,7,-6.625094338950954,5.1,звичайний твел UO₂,385,319516.0506965431,4631.201530872342,0.0016500515689964743,2.3941121301437085e-05,0.04115466556540558,0.00024604442278305396,0.0028530867329142617,3.680256474508595e-05,0.004041398951792022,5.820448843297519e-05,0.003245421989322023,1.0125716606684712,0.014699039994273442
80,-4,6,-4.416729559300636,5.1,звичайний твел UO₂,390,332372.5110914626,4678.787955812485,0.001716437941265235,2.418724963075522e-05,0.04164544912456055,0.0002543707376576515,0.0029218900301171023,3.886613945549828e-05,0.0042051680136974984,5.885657586283573e-05,0.003376008979176085,1.0533148015029385,0.014851436107384926
81,-2,5,-2.208364779650318,5.1,звичайний твел UO₂,395,302926.87310302694,4830.313656577874,0.0015642947178036457,2.4973991623247517e-05,0.040674587687922925,0.00021182141456608223,0.002713745086592889,3.9528767325002635e-05,0.0038329932943209563,6.0725169726292386e-05,0.003076920652286224,0.9599992435133019,0.015326949648093861
82,0,4,0.0,5.1,звичайний твел UO₂,400,293157.356714746,4246.789959508508,0.0015138108427979657,2.1953553441852068e-05,0.04045814924173536,0.00024925460173172415,0.002617701327647871,3.6719023438698524e-05,0.003709883891112621,5.3491346962386115e-05,0.002977688694322142,0.9290388726285083,0.01347897313217349
83,2,3,2.208364779650318,5.1,звичайний твел UO₂,405,314046.1794168236,4223.958883094131,0.0016217764972501594,2.1835995718639163e-05,0.04086082388665207,0.00022611684229760883,0.0027792286190809314,3.654381763308436e-05,0.003973633593155075,5.3114381827793945e-05,0.0031898628382519487,0.995237205534608,0.013409778586823557
84,4,2,4.416729559300636,5.1,звичайний твел UO₂,410,290137.26692026295,4074.044409236417,0.001498155687309402,2.106843658604684e-05,0.03999987981215233,0.00021114513612665285,0.0025991039976051783,3.40262553390025e-05,0.003673225517990299,5.1148473910433004e-05,0.002947012721057653,0.9194679689699877,0.012931960238969788
